Loyalty#,Province or State,City,Latitude,Longitude,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,Customer Lifetime Value,EnrollmentType,DaysSinceEnrollment,EnrollmentDurationInDays,DaysSinceCancellation,IsCancelled,SumNumFlights,AvgNumFlights,AvgVarNumFlights,SumPointsAccumulated,PropOfRedeem,PropOfCompanionFlights,MonthsSinceLastFlight,NumMonthsWithFlights,LowSeason_SumShare,PeakSeason_SumShare,Autumn_SumShare,HolidayMonth_December_SumShare,LowSeason_CompShare,PeakSeason_CompShare,Autumn_CompShare,HolidayMonth_December_CompShare
480934,Ontario,Toronto,43.653225,-79.383186,female,Bachelor,Urban,70146.0,Married,Star,3839.14,Standard,1049,1049.0,,False,189.6,6.537931034482758,73.18,49731.84,27.18,29.59,0.0,29.0,29.74,44.620000000000005,21.049999999999997,4.59,29.43,13.48,62.91,34.48
549612,Alberta,Edmonton,53.544388,-113.49093,male,College,Rural,0.0,Divorced,Star,3839.61,Standard,1027,1027.0,,False,279.1,10.734615384615385,28.38,38984.19,57.61,11.54,0.0,26.0,44.85,30.169999999999998,21.03,3.94,7.11,27.67,0.0,0.0
429460,British Columbia,Vancouver,49.28273,-123.12074,male,College,Urban,0.0,Single,Star,3839.75,Standard,1630,1274.0,356.0,True,120.0,7.0588235294117645,45.18,22977.23,23.85,33.25,11.0,17.0,55.67,17.42,25.34,1.58,31.29,81.82,0.0,100.0
608370,Ontario,Toronto,43.653225,-79.383186,male,College,Suburban,0.0,Single,Star,3839.75,Standard,2143,2143.0,,False,195.9,7.2555555555555555,56.16,38595.63,42.31,29.86,0.0,27.0,50.84,18.63,22.099999999999998,8.42,36.24,0.0,35.57,42.42
530508,Quebec,Hull,45.42873,-75.713364,male,Bachelor,Suburban,97832.0,Married,Star,3842.79,2021 Promotion,1527,1527.0,,False,170.7,7.421739130434782,67.34,36654.0,0.0,36.85,0.0,23.0,29.47,42.95,18.810000000000002,8.79,38.17,30.29,54.52,26.67
193662,Yukon,Whitehorse,60.721188,-135.05684,male,Bachelor,Rural,26262.0,Married,Star,3844.57,Standard,2429,2429.0,,False,232.6,8.614814814814814,47.7,45414.76,20.98,13.28,3.0,27.0,29.32,36.19,25.49,8.99,20.09,0.0,22.6,18.18
927943,Ontario,Toronto,43.653225,-79.383186,female,College,Urban,0.0,Single,Star,3857.95,Standard,1665,1665.0,,False,196.1,7.843999999999999,65.64,51924.87,41.59,17.34,0.0,25.0,33.3,33.56,28.56,4.59,12.1,20.21,6.79,100.0
188893,Ontario,Trenton,44.101128,-77.576309,male,Bachelor,Suburban,93272.0,Married,Star,3861.49,Standard,753,753.0,,False,215.1,8.273076923076923,51.52,42923.85,18.35,30.78,2.0,26.0,43.33,33.06,23.61,0.0,25.86,37.83,29.92,0.0
852392,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Suburban,93272.0,Married,Star,3861.49,Standard,1310,1310.0,,False,149.5,7.475,63.75,35441.79,54.86,36.52,1.0,20.0,69.83,13.58,6.42,10.17,31.03,34.48,0.0,100.0
866307,Ontario,Toronto,43.653225,-79.383186,male,Bachelor,Suburban,93272.0,Married,Star,3861.49,Standard,808,808.0,,False,220.1,8.804,56.22,30432.81,70.73,32.3,1.0,25.0,52.79,26.619999999999997,20.580000000000002,0.0,37.87,8.53,48.79,0.0
932823,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Suburban,47199.0,Married,Star,3863.31,Standard,1384,1384.0,,False,240.8,8.303448275862069,47.57,43128.26,17.75,22.88,1.0,29.0,31.14,28.61,33.14,7.1,14.4,42.09,19.17,0.0
144514,British Columbia,Dawson Creek,55.759628,-120.23766,female,Bachelor,Urban,24204.0,Married,Star,3864.78,Standard,933,933.0,,False,153.6,7.314285714285714,44.26,36557.74,35.63,33.53,1.0,21.0,36.4,36.0,17.72,9.9,12.52,54.07,53.68,0.0
