,Loyalty#,Province or State,City,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,Customer Lifetime Value,EnrollmentType,DaysSinceEnrollment,DaysSinceCancellation,EnrollmentDurationInDays,IsCancelled,SumNumFlights,AvgNumFlights,AvgVarNumFlights,SumPointsAccumulated,PropOfRedeem,PropOfCompanionFlights,MonthsSinceLastFlight,NumMonthsWithFlights,Flights_Month_1,Flights_Month_2,Flights_Month_3,Flights_Month_4,Flights_Month_5,Flights_Month_6,Flights_Month_7,Flights_Month_8,Flights_Month_9,Flights_Month_10,Flights_Month_11,Flights_Month_12,PropCompFlightsSeason_LowSeasonEarlyYear,PropCompFlightsSeason_PeakSeasonSummer,PropCompFlightsSeason_Autumn,PropCompFlightsSeason_HolidayPeak
0,480934,Ontario,Toronto,female,Bachelor,Urban,70146.0,Married,Star,3839.14,Standard,1049,,1049.0,False,184.0,6.344827586206897,75.97,49731.84,27.18,28.8,0.0,28.0,2.94,3.82,2.94,19.12,17.25,13.15,16.01,16.94,8.06,3.46,12.98,4.32,27.56,11.63,66.31,33.33
1,549612,Alberta,Edmonton,male,College,Rural,0.0,Divorced,Star,3839.61,Standard,1027,,1027.0,False,275.0,10.576923076923077,28.57,38984.19,57.61,10.91,0.0,26.0,8.73,9.25,11.25,10.99,15.27,13.19,12.72,13.08,10.99,9.79,10.85,12.09,7.56,26.03,0.0,0.0
2,429460,British Columbia,Vancouver,male,College,Urban,0.0,Single,Star,3839.75,Standard,1630,356.0,1274.0,True,116.0,6.823529411764706,47.55,22977.23,23.85,31.9,11.0,16.0,42.44,6.33,13.67,0.0,20.0,0.0,0.0,18.17,13.67,0.0,13.67,0.83,21.33,85.35,0.0,100.0
3,608370,Ontario,Toronto,male,College,Suburban,0.0,Single,Star,3839.75,Standard,2143,,2143.0,False,191.0,7.074074074074074,58.01,38595.63,42.31,28.8,0.0,26.0,5.5,12.17,14.13,8.73,11.32,18.89,0.0,0.0,12.79,13.65,0.62,9.57,27.91,0.0,33.41,33.33
4,530508,Quebec,Hull,male,Bachelor,Suburban,97832.0,Married,Star,3842.79,2021 Promotion,1527,,1527.0,False,167.0,7.260869565217392,70.5,36654.0,0.0,35.33,0.0,22.0,0.0,17.45,4.49,0.0,15.26,5.64,8.87,26.4,4.0,0.0,15.26,16.85,36.43,36.76,50.58,26.67
5,193662,Yukon,Whitehorse,male,Bachelor,Rural,26262.0,Married,Star,3844.57,Standard,2429,,2429.0,False,228.0,8.444444444444445,48.97,45414.76,20.98,12.28,3.0,27.0,3.7,16.67,6.53,6.99,13.31,20.46,8.63,12.63,15.67,8.63,4.0,11.48,17.84,0.0,21.54,14.65
6,927943,Ontario,Toronto,female,College,Urban,0.0,Single,Star,3857.95,Standard,1665,,1665.0,False,192.0,7.68,68.67,51924.87,41.59,16.67,0.0,24.0,17.66,11.9,2.15,8.78,16.67,28.7,13.1,2.72,7.53,6.45,17.5,10.71,8.02,21.13,5.42,100.0
7,188893,Ontario,Trenton,male,Bachelor,Suburban,93272.0,Married,Star,3861.49,Standard,753,,753.0,False,211.0,8.115384615384615,53.01,42923.85,18.35,29.86,2.0,26.0,11.67,12.31,12.5,12.91,8.91,18.74,26.15,6.47,4.21,12.71,8.91,0.0,26.08,43.76,23.23,0.0
8,852392,Quebec,Montreal,female,Bachelor,Suburban,93272.0,Married,Star,3861.49,Standard,1310,,1310.0,False,146.0,7.3,65.03,35441.79,54.86,36.3,1.0,20.0,6.6,0.0,19.42,26.32,25.03,0.0,12.35,11.54,5.8,0.0,7.69,12.52,26.63,33.33,0.0,100.0
9,866307,Ontario,Toronto,male,Bachelor,Suburban,93272.0,Married,Star,3861.49,Standard,808,,808.0,False,216.0,8.64,58.24,30432.81,70.73,30.56,1.0,24.0,0.63,12.51,14.8,8.25,16.57,19.02,0.0,24.29,2.01,13.05,10.29,0.0,34.08,5.21,44.75,0.0
