,Loyalty#,SumNumFlights,AvgNumFlights,SumPointsAccumulated,NumMonthsWithFlights,PropOfRedeem,PropOfCompanionFlights,AvgVarNumFlights,MonthsSinceLastFlight,Flights_Month_1,Flights_Month_2,Flights_Month_3,Flights_Month_4,Flights_Month_5,Flights_Month_6,Flights_Month_7,Flights_Month_8,Flights_Month_9,Flights_Month_10,Flights_Month_11,Flights_Month_12,PropCompFlights_Month_1,PropCompFlights_Month_2,PropCompFlights_Month_3,PropCompFlights_Month_4,PropCompFlights_Month_5,PropCompFlights_Month_6,PropCompFlights_Month_7,PropCompFlights_Month_8,PropCompFlights_Month_9,PropCompFlights_Month_10,PropCompFlights_Month_11,PropCompFlights_Month_12,PropCompFlightsSeason_LowSeasonEarlyYear,PropCompFlightsSeason_PeakSeasonSummer,PropCompFlightsSeason_Autumn,PropCompFlightsSeason_HolidayPeak
0,100018,225,7.258064516129032,53014.3,31,38.79,20.0,57.8,0,2.65,3.94,14.71,5.31,0.0,4.68,12.47,12.79,13.77,7.55,15.57,12.38,0.0,66.67,12.7,0.0,0.0,12.5,25.93,47.22,32.08,22.22,2.56,11.76,12.8,40.61,16.57,11.76
1,100102,245,9.8,33903.96,25,55.33,22.45,29.75,0,12.27,6.67,18.06,10.65,7.78,8.89,15.56,16.77,11.15,7.93,12.13,13.77,36.67,0.0,24.87,22.22,57.14,0.0,28.57,0.0,33.33,72.73,11.57,16.5,29.66,6.06,28.08,16.5
2,100140,211,7.535714285714286,43192.58,27,11.34,24.17,58.07,1,9.35,0.0,6.27,16.81,8.55,5.88,9.99,8.4,18.07,5.0,9.13,21.43,0.0,0.0,61.11,0.0,72.22,0.0,87.18,100.0,2.56,100.0,0.0,0.0,23.56,74.15,7.22,0.0
3,100214,108,5.142857142857143,36453.77,19,35.41,15.74,79.53,0,0.0,11.95,7.14,0.0,0.0,6.46,0.0,6.46,21.47,20.15,4.43,28.19,0.0,0.0,100.0,0.0,0.0,100.0,0.0,78.57,0.0,0.0,25.0,0.0,25.0,89.29,1.85,0.0
4,100272,181,7.24,42953.25,23,25.36,27.62,75.68,1,6.56,2.69,25.08,14.45,11.48,22.7,9.18,8.7,1.64,6.56,8.76,16.67,0.0,37.5,9.82,36.13,14.29,23.08,0.0,50.0,0.0,100.0,66.67,55.05,27.18,12.23,75.0,55.05
5,100301,236,8.74074074074074,45605.63,27,24.15,28.81,49.32,0,9.76,7.13,14.35,0.0,11.26,19.51,9.07,14.07,7.31,6.66,10.57,14.07,50.0,66.67,0.0,0.0,0.0,39.44,100.0,49.13,33.33,0.0,13.33,15.15,17.55,59.32,16.67,15.15
6,100364,171,8.142857142857142,34332.25,21,25.36,25.15,46.16,0,2.5,3.78,0.0,16.78,9.93,20.34,15.25,21.4,27.5,12.26,0.0,12.64,0.0,0.0,0.0,50.0,0.0,27.31,0.0,0.0,63.64,0.0,0.0,83.33,18.35,7.14,12.28,83.33
7,100380,164,7.130434782608695,36723.94,23,48.55,36.59,56.46,0,19.3,6.51,4.84,6.51,18.7,5.42,0.0,16.58,8.77,22.48,19.48,24.56,0.0,70.83,100.0,70.83,0.0,66.67,0.0,63.52,100.0,0.0,29.97,42.86,32.54,60.96,23.42,42.86
8,100428,156,6.5,31324.82,24,63.61,17.95,62.53,0,13.26,11.53,17.95,0.0,20.11,1.28,9.79,2.93,20.6,8.97,11.54,12.39,11.11,0.0,0.0,0.0,0.0,0.0,66.67,0.0,16.67,0.0,33.33,75.76,3.85,42.22,10.26,75.76
9,100504,105,9.545454545454545,15242.21,11,0.0,8.57,31.56,9,43.48,47.83,8.7,0.0,0.0,0.0,0.0,23.21,0.0,31.7,20.75,24.34,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36.67,0.0,0.0,0.0,0.0,8.7,36.67,0.0,0.0
